id;subject;message;image;image_content_type;department_id;customer_login_id;customer_type_id
1;digital;synthesizing;../fake-data/blob/hipster.png;image/png;1;1;1
2;Soft;Home Loan Account Rustic channels;../fake-data/blob/hipster.png;image/png;2;2;2
3;Palladium Vietnam;bypass;../fake-data/blob/hipster.png;image/png;3;3;3
4;turquoise;directional;../fake-data/blob/hipster.png;image/png;4;4;4
5;Handmade Incredible SCSI;Tunnel Gorgeous Rubber Shoes Granite;../fake-data/blob/hipster.png;image/png;5;5;5
6;Tools;PNG Pennsylvania;../fake-data/blob/hipster.png;image/png;6;6;6
7;Graphic Interface;Berkshire Home Loan Account Bike;../fake-data/blob/hipster.png;image/png;7;7;7
8;Facilitator;e-business Groves red;../fake-data/blob/hipster.png;image/png;8;8;8
9;Concrete Cambridgeshire;Czech Koruna;../fake-data/blob/hipster.png;image/png;9;9;9
10;generating;Glens RSS;../fake-data/blob/hipster.png;image/png;10;10;10
