id;name;description;status
1;orange quantifying;redundant Consultant;plum Research Computers
2;Turkey infomediaries Licensed;port deposit collaborative;Steel application program
3;clicks-and-mortar Cambridgeshire;cross-platform SAS encompassing;Cambridgeshire USB Fantastic Wooden Keyboard
4;Brand national explicit;Cambridgeshire;firewall Synergistic Assistant
5;Intranet generate;Music;Metal primary user-facing
6;Alaska Sleek Checking Account;navigating web-readiness optical;Solutions transitional salmon
7;grey copying;green Mills;virtual Monaco uniform
8;Singapore Dollar harness;Checking Account hack Associate;redundant program
9;Fantastic Steel Car Web Home Loan Account;Court embrace withdrawal;transmitter Brazil Books
10;Pizza;metrics;Director Buckinghamshire
