id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2020-05-14T04:32:16;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-05-13T16:24:58;75071
2;Rhode Island bypassing SQL;2020-05-13T19:20:20;Frozen online streamline;ISSUED;CREDIT_CARD;2020-05-14T11:07:26;68011
3;lime program;2020-05-13T14:35:23;parse Horizontal Shirt;ISSUED;PAYPAL;2020-05-13T15:25:56;82892
4;Buckinghamshire Director Gloves;2020-05-13T19:06:06;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-05-13T11:41:07;33894
5;attitude-oriented;2020-05-13T21:34:14;Integration structure;CANCELLED;PAYPAL;2020-05-13T23:41:44;72584
6;Internal Licensed Steel Towels RSS;2020-05-14T04:10:24;Chips;PAID;CREDIT_CARD;2020-05-14T05:06:04;90614
7;Toys Cotton;2020-05-13T20:39:45;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-05-13T18:23:09;42722
8;Arizona Barbados Dollar;2020-05-14T05:09:27;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-05-14T02:12:55;44406
9;Generic Ethiopian Birr Assurance;2020-05-13T17:38:18;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-05-14T01:33:48;93110
10;Concrete;2020-05-14T10:22:04;paradigms system;PAID;CREDIT_CARD;2020-05-13T12:48:16;93817
